ad_spend,sales
386.1,1163.9
386.6,1180.8
386.8,1226.0
387.3,1166.2
388.7,1227.6
389.3,1200.1
389.7,1168.5
391.0,1198.7
393.7,1207.9
395.9,1199.7
396.8,1145.2
398.4,1166.7
398.6,1178.7
398.9,1183.1
400.2,1200.8
402.1,1190.2
402.7,1152.5
402.8,1195.4
404.4,1201.6
404.7,1200.4
405.0,1213.5
405.2,1207.3
405.6,1198.1
406.0,1184.9
407.3,1145.5
408.2,1197.9
408.7,1192.5
409.5,1194.3
409.9,1155.6
411.8,1160.9
412.2,1214.4
414.1,1187.5
415.2,1205.7
417.1,1189.8
418.5,1190.1
418.8,1212.9
423.2,1177.3
425.4,1193.0
426.3,1179.2
427.2,1180.1
428.5,1183.4
429.0,1196.8
429.9,1179.5
431.1,1223.0
432.2,1169.4
433.8,1187.4
434.2,1181.1
435.0,1228.4
436.4,1197.4
439.3,1218.7
439.3,1155.7
439.3,1199.6
444.1,1215.8
444.2,1195.6
444.4,1220.2
445.6,1180.8
445.7,1229.0
446.1,1251.3
446.6,1184.8
446.8,1182.7
447.9,1230.3
448.3,1233.5
448.6,1181.0
449.1,1183.6
449.1,1187.1
449.8,1160.6
450.7,1171.4
451.1,1169.3
451.8,1175.2
453.1,1193.7
453.2,1200.5
453.6,1233.4
454.2,1169.8
454.6,1219.4
455.1,1189.4
457.1,1193.8
457.9,1211.9
461.3,1167.3
462.7,1205.1
464.5,1199.8
465.2,1208.0
465.7,1203.0
468.4,1257.3
468.7,1180.0
470.1,1182.8
470.4,1180.5
470.5,1182.2
471.0,1180.2
471.7,1225.9
473.9,1231.8
474.7,1182.0
475.3,1175.5
475.5,1208.1
475.6,1182.6
475.6,1212.2
477.2,1201.5
477.7,1158.6
480.8,1235.3
481.3,1241.5
481.4,1181.3
481.5,1186.9
481.8,1203.8
482.0,1205.0
483.0,1213.1
483.5,1246.9
484.8,1192.3
484.9,1176.8
485.1,1162.3
485.1,1178.5
486.0,1195.9
486.6,1241.6
487.3,1183.8
488.0,1202.4
492.9,1196.5
493.1,1226.6
493.2,1260.1
493.4,1183.6
493.5,1184.6
495.1,1223.0
495.3,1213.9
496.5,1243.1
