borrower_score,payment_inc_ratio,outcome
0.547,3.05,paid off
0.459,16.08,default
0.546,5.29,paid off
0.723,7.57,paid off
0.547,19.29,default
0.8,6.12,paid off
0.787,3.76,paid off
0.373,20.0,default
0.733,4.02,paid off
0.319,8.16,default
0.484,4.89,paid off
0.654,8.12,paid off
0.775,9.84,paid off
0.487,20.0,default
0.62,4.36,paid off
0.487,8.92,default
0.253,20.0,default
0.711,6.58,paid off
0.372,11.75,default
0.464,17.84,default
0.731,4.08,paid off
0.392,11.2,default
0.342,8.14,default
0.352,8.94,default
0.738,4.39,paid off
0.309,8.5,default
0.691,3.54,paid off
0.661,4.24,paid off
0.617,4.26,paid off
0.573,7.66,paid off
0.464,11.45,default
0.397,14.78,default
0.723,8.73,paid off
0.459,7.44,paid off
0.449,8.19,paid off
0.348,12.81,default
0.554,7.58,paid off
0.676,4.11,paid off
0.63,8.83,paid off
0.269,7.49,default
0.617,4.56,paid off
0.409,4.96,paid off
0.774,10.47,paid off
0.356,16.53,default
0.562,11.99,default
0.747,4.24,paid off
0.715,4.45,paid off
0.711,4.16,paid off
0.479,2.77,paid off
0.215,13.84,default
0.577,13.04,default
0.714,3.01,paid off
0.245,14.57,default
0.599,3.15,paid off
0.351,8.84,default
0.336,10.33,default
0.691,4.96,paid off
0.749,3.75,paid off
0.422,2.87,paid off
0.584,3.73,paid off
0.685,4.8,paid off
0.367,9.01,default
0.51,9.87,paid off
0.794,7.71,paid off
0.564,4.24,paid off
0.741,8.77,paid off
0.338,8.04,default
0.385,10.74,default
0.299,8.59,default
0.194,9.6,default
0.323,8.77,default
0.4,10.26,default
0.445,1.79,paid off
0.314,5.47,default
0.537,4.53,paid off
0.6,9.15,paid off
0.622,4.86,paid off
0.321,10.42,default
0.385,11.86,default
0.424,7.74,default
0.407,13.63,default
0.767,10.86,paid off
0.435,20.0,default
0.773,13.59,paid off
0.548,10.6,default
0.545,6.85,paid off
0.663,2.09,paid off
0.657,6.17,paid off
0.314,11.77,default
0.687,4.0,paid off
0.645,7.11,paid off
0.758,7.78,paid off
0.77,7.06,paid off
0.72,3.42,paid off
0.605,5.4,paid off
0.726,2.27,paid off
0.661,3.07,paid off
0.203,6.51,default
0.531,3.99,paid off
0.434,11.08,default
0.602,3.43,paid off
0.507,4.06,paid off
0.373,7.96,default
0.484,6.13,default
0.582,3.59,paid off
0.696,6.19,paid off
0.464,7.06,default
0.545,12.07,default
0.574,6.76,paid off
0.732,7.88,default
0.221,10.25,default
0.665,3.21,paid off
0.627,5.28,paid off
0.481,9.76,paid off
0.661,1.91,paid off
0.651,6.5,paid off
0.388,9.27,default
0.567,2.96,paid off
0.759,3.2,paid off
0.493,6.06,paid off
0.45,4.23,paid off
0.698,4.16,paid off
0.726,3.56,paid off
0.477,3.76,paid off
0.706,7.01,paid off
0.511,8.75,default
0.704,6.37,paid off
0.44,11.03,default
0.6,4.07,paid off
0.295,10.22,default
0.352,7.95,default
0.688,4.7,paid off
0.659,6.94,paid off
0.434,3.47,paid off
0.531,12.89,default
0.4,6.39,default
0.566,10.3,default
0.596,6.55,paid off
0.766,7.06,paid off
0.237,10.67,default
0.389,9.18,default
0.479,16.63,default
0.584,9.25,paid off
0.541,2.81,paid off
0.243,13.93,default
0.739,7.35,paid off
0.678,2.34,paid off
0.485,13.86,default
0.311,15.44,default
0.684,8.16,paid off
0.3,18.87,default
0.636,15.8,paid off
0.259,10.76,default
0.535,4.3,paid off
0.674,5.34,paid off
0.319,12.9,default
0.563,2.31,paid off
0.582,2.51,paid off
0.253,7.54,default
0.447,3.09,paid off
0.636,8.67,paid off
0.725,4.74,paid off
0.523,5.39,paid off
0.548,7.02,default
0.489,2.39,paid off
0.37,9.12,default
0.47,16.26,default
0.557,3.32,paid off
0.453,14.09,default
0.6,3.84,paid off
0.481,17.88,default
0.55,3.07,paid off
0.604,15.37,default
0.259,10.34,default
0.528,8.04,default
0.663,3.46,paid off
0.653,5.79,paid off
0.526,8.33,paid off
0.373,8.76,default
0.602,2.44,paid off
0.443,6.56,default
0.237,8.65,default
0.672,1.68,paid off
0.589,6.82,paid off
0.383,10.12,default
0.596,13.32,default
0.547,5.47,paid off
0.284,8.46,default
0.631,6.05,paid off
0.64,5.27,paid off
0.625,4.38,paid off
0.663,1.98,paid off
0.723,6.41,paid off
0.443,10.19,default
0.7,3.84,paid off
0.605,4.71,paid off
0.735,7.0,paid off
0.606,15.25,default
0.469,17.7,default
0.526,10.19,paid off
0.728,2.9,paid off
0.552,3.93,paid off
0.506,16.14,default
0.307,12.52,default
0.736,7.04,paid off
0.595,4.01,paid off
0.294,13.6,default
0.634,5.22,paid off
0.495,2.78,paid off
0.716,3.43,paid off
0.737,2.53,paid off
0.303,7.66,default
0.621,1.96,paid off
0.238,14.3,default
0.518,7.43,paid off
0.424,9.71,default
0.43,11.54,default
0.712,4.78,paid off
0.549,5.12,paid off
0.321,13.07,default
0.742,6.54,paid off
0.288,16.14,default
0.49,5.3,paid off
0.763,8.93,paid off
0.621,9.53,paid off
0.627,2.7,paid off
0.637,3.98,paid off
0.577,3.92,paid off
0.557,5.02,paid off
0.649,5.16,paid off
0.678,5.1,paid off
0.565,4.78,paid off
0.678,2.22,paid off
0.434,11.64,default
0.686,3.19,paid off
0.627,6.86,paid off
0.628,5.25,paid off
0.388,4.13,paid off
0.391,6.85,paid off
0.528,5.02,paid off
0.794,5.59,paid off
0.783,4.11,paid off
0.424,12.22,default
0.531,5.13,paid off
0.447,12.52,default
0.629,2.14,paid off
0.457,5.12,paid off
0.467,7.09,paid off
0.627,2.56,paid off
0.266,12.25,default
0.437,19.99,default
0.522,3.52,paid off
0.731,7.11,paid off
0.403,10.0,default
0.493,6.05,default
0.557,3.94,paid off
0.628,7.93,default
0.597,3.71,paid off
0.427,17.43,default
0.536,5.59,default
0.505,5.89,paid off
0.369,9.37,default
0.436,8.39,default
0.7,4.77,paid off
0.324,18.38,default
0.665,8.2,paid off
0.612,6.62,paid off
0.785,9.67,paid off
0.52,4.07,paid off
0.742,5.34,paid off
0.714,5.62,paid off
0.518,5.13,paid off
0.519,3.31,paid off
0.56,2.54,paid off
0.708,8.24,paid off
0.605,4.29,paid off
0.444,12.63,paid off
0.258,18.01,default
0.563,5.37,paid off
0.685,11.8,paid off
0.643,4.05,paid off
0.212,4.99,default
0.752,2.29,paid off
0.385,16.21,default
0.533,9.71,default
0.607,7.55,paid off
0.238,6.23,default
0.441,10.41,default
0.269,4.46,default
0.396,7.13,default
0.542,5.25,paid off
0.745,2.73,paid off
0.624,13.21,default
0.731,6.82,paid off
0.401,15.82,default
0.446,7.3,default
0.57,15.73,default
0.361,10.0,default
0.278,9.87,default
0.539,9.29,default
0.667,11.11,paid off
0.485,9.75,default
0.633,4.04,paid off
0.32,16.04,default
0.312,5.01,default
0.361,6.76,default
0.578,13.14,default
0.676,8.39,paid off
0.644,2.13,paid off
0.611,5.77,default
0.71,9.31,paid off
0.492,19.71,default
0.298,13.44,default
0.53,4.08,paid off
0.727,6.08,paid off
0.66,19.94,default
0.479,4.1,paid off
0.574,7.53,default
0.313,11.77,default
0.632,6.35,paid off
0.458,14.24,default
0.564,7.13,paid off
0.522,20.0,default
0.569,2.19,paid off
0.777,4.48,paid off
0.45,5.69,default
0.637,2.97,paid off
0.33,5.76,default
0.649,3.57,paid off
0.569,5.01,paid off
0.622,6.83,paid off
0.553,2.66,paid off
0.6,5.47,paid off
0.627,4.87,paid off
0.332,7.79,default
0.623,9.25,paid off
0.8,5.52,paid off
0.604,4.97,paid off
0.347,6.98,default
0.504,7.06,default
0.452,6.2,default
0.603,10.1,default
0.457,8.33,default
0.665,5.0,paid off
0.488,6.13,paid off
0.257,14.5,default
0.593,3.28,paid off
0.433,10.6,default
0.624,2.93,paid off
0.546,5.55,default
0.54,5.46,paid off
0.632,6.43,paid off
0.468,13.35,default
0.262,11.89,default
0.532,4.72,paid off
0.365,10.75,default
0.587,2.44,paid off
0.709,5.6,paid off
0.729,6.88,paid off
0.363,14.95,default
0.349,9.34,default
0.552,6.8,paid off
0.348,8.56,default
0.359,13.41,default
0.643,5.69,paid off
0.663,2.46,paid off
0.654,3.84,paid off
0.376,15.47,default
0.724,2.85,paid off
0.656,2.33,paid off
0.608,5.18,paid off
0.536,3.05,paid off
0.237,9.52,default
0.402,5.13,default
0.47,13.09,default
0.598,4.55,paid off
0.623,4.03,paid off
0.301,14.84,default
0.536,1.94,paid off
0.612,2.18,paid off
0.679,4.0,paid off
0.478,8.71,default
0.652,5.88,paid off
0.743,7.45,paid off
0.184,10.63,default
0.698,1.82,paid off
0.475,9.46,default
0.483,5.04,paid off
0.563,3.94,paid off
0.54,8.37,paid off
0.661,5.97,paid off
0.619,9.68,paid off
0.614,14.82,paid off
0.595,10.69,paid off
0.394,20.0,default
0.31,11.45,default
0.515,4.19,paid off
0.513,9.99,paid off
0.423,10.87,default
0.465,6.58,paid off
0.394,3.38,paid off
0.34,12.75,default
0.278,20.0,default
0.517,16.92,default
0.288,7.78,default
0.409,6.05,paid off
0.424,5.47,paid off
0.373,8.55,paid off
0.469,4.43,default
0.707,3.82,paid off
0.28,6.26,default
0.712,9.06,paid off
0.642,8.08,paid off
0.544,4.69,paid off
0.533,3.7,paid off
0.238,6.11,default
0.754,5.19,paid off
0.597,3.31,paid off
0.697,9.18,paid off
0.48,11.1,default
0.412,9.35,default
0.286,10.83,default
0.434,12.68,default
0.484,7.76,paid off
0.419,7.0,default
0.41,3.94,paid off
0.772,6.29,paid off
0.3,6.31,default
0.669,3.91,paid off
0.579,5.97,paid off
0.45,6.96,paid off
0.636,4.45,paid off
0.575,17.67,default
0.601,2.56,paid off
0.303,10.16,default
0.427,20.0,default
0.309,16.24,default
0.366,7.23,default
0.774,6.63,paid off
0.478,6.09,paid off
0.768,5.55,paid off
0.651,12.06,paid off
0.605,2.4,paid off
0.616,11.49,default
0.225,9.95,default
0.667,3.6,default
0.372,14.88,default
0.464,2.77,paid off
0.302,12.45,default
0.635,8.42,paid off
0.447,9.03,default
0.679,3.55,paid off
0.43,6.58,default
0.513,2.96,paid off
0.644,7.64,paid off
0.531,10.4,default
0.75,5.09,paid off
0.636,4.21,paid off
0.456,6.62,default
0.477,6.49,paid off
0.551,5.96,paid off
0.297,5.69,default
0.684,2.03,paid off
0.521,3.64,paid off
0.387,5.75,default
0.54,15.61,default
0.373,11.11,default
0.435,13.17,default
0.657,5.46,paid off
0.499,19.81,default
0.706,2.76,paid off
0.44,10.16,default
0.498,6.63,paid off
0.31,10.4,default
0.447,19.3,default
0.613,5.3,paid off
0.483,4.37,paid off
0.405,8.56,default
0.385,10.44,default
0.699,14.75,paid off
0.415,9.37,default
0.414,16.67,default
0.31,11.42,default
0.737,3.51,paid off
0.544,4.7,paid off
0.436,16.17,default
0.498,6.7,paid off
0.419,9.23,default
0.546,2.9,paid off
0.743,2.59,paid off
0.425,10.46,default
0.613,3.08,paid off
0.329,12.19,default
0.422,20.0,default
0.407,11.1,default
0.606,6.47,paid off
0.573,3.8,paid off
0.366,11.58,default
0.668,3.45,paid off
0.327,7.22,default
0.454,10.62,default
0.691,3.11,paid off
0.398,11.85,default
0.352,9.43,default
0.604,3.48,paid off
0.579,11.55,paid off
0.557,10.27,default
0.413,11.5,default
0.476,9.31,default
0.379,4.92,default
0.407,12.31,default
0.546,7.86,paid off
0.601,4.05,paid off
0.454,7.06,default
0.593,12.26,paid off
0.389,8.47,default
0.632,7.11,paid off
0.448,15.13,default
0.732,3.26,paid off
0.688,4.02,paid off
0.654,5.12,paid off
0.246,10.87,default
0.421,9.56,default
0.669,6.64,paid off
0.591,3.09,paid off
0.431,1.7,paid off
0.56,13.11,default
0.579,3.88,paid off
0.442,4.61,default
0.632,4.3,paid off
0.748,3.57,paid off
0.655,7.61,paid off
0.652,4.16,paid off
0.337,11.65,default
0.502,10.58,default
0.726,2.89,paid off
0.47,7.55,paid off
0.533,6.45,paid off
0.624,4.14,paid off
0.233,5.64,default
0.467,18.61,default
0.74,10.94,paid off
0.51,6.58,default
0.385,7.37,default
0.611,5.36,paid off
0.447,19.41,default
0.699,4.99,paid off
0.485,20.0,default
0.611,5.07,paid off
0.69,7.41,paid off
0.413,5.14,paid off
0.402,9.25,default
0.569,3.3,paid off
0.672,5.1,paid off
0.612,2.13,paid off
0.708,4.12,paid off
0.538,9.17,default
0.389,3.48,paid off
0.543,11.89,default
0.301,9.04,default
0.496,6.95,default
0.736,2.52,paid off
0.426,7.65,default
0.603,3.89,paid off
0.483,5.33,paid off
0.53,5.33,paid off
0.761,9.42,paid off
0.414,10.43,default
0.566,12.36,paid off
0.59,3.6,paid off
0.604,8.46,default
0.606,3.69,paid off
0.474,3.68,paid off
0.399,12.52,default
0.536,12.88,paid off
0.442,5.62,default
0.255,9.79,default
0.677,8.96,paid off
0.362,11.77,default
0.384,11.57,default
0.475,15.47,default
0.377,7.55,default
0.569,7.4,default
0.632,2.99,paid off
0.432,5.44,default
0.754,2.45,paid off
0.629,4.41,paid off
0.508,5.64,paid off
0.581,2.65,paid off
0.351,6.25,default
0.712,4.55,paid off
0.398,4.06,paid off
0.718,6.4,paid off
0.428,15.91,default
0.361,20.0,default
0.647,2.36,paid off
0.707,2.18,paid off
0.793,9.14,paid off
0.329,4.92,default
0.322,7.95,default
0.441,8.16,default
0.331,8.06,default
0.507,4.72,default
0.675,10.13,paid off
0.621,4.63,paid off
0.749,6.04,paid off
0.617,3.89,paid off
0.238,14.55,default
0.509,15.88,default
0.575,4.71,paid off
0.27,8.78,default
0.523,20.0,default
0.647,8.25,paid off
0.371,12.65,default
0.569,5.22,paid off
0.623,8.87,paid off
0.454,4.55,paid off
0.35,15.23,default
0.329,16.43,default
0.608,3.72,paid off
0.557,2.34,paid off
0.697,2.85,paid off
0.621,3.23,paid off
0.399,6.27,default
0.41,6.54,default
0.662,6.88,paid off
0.671,6.43,paid off
0.471,15.13,default
0.571,18.33,default
0.767,7.36,paid off
0.322,10.51,default
0.742,5.41,paid off
0.412,6.41,default
0.488,7.11,paid off
0.413,7.49,default
0.689,5.5,paid off
0.372,16.29,default
0.523,13.31,default
0.208,7.01,default
0.52,4.38,paid off
0.465,3.03,paid off
0.691,8.63,paid off
0.332,12.69,default
0.753,4.69,paid off
0.686,4.24,paid off
0.693,6.8,paid off
0.739,4.17,paid off
0.55,2.63,paid off
0.485,8.68,paid off
0.446,8.71,default
0.481,13.72,default
0.445,14.7,default
0.433,20.0,default
0.313,12.45,default
0.374,14.88,default
0.526,6.05,default
0.604,2.97,paid off
0.514,7.02,paid off
0.334,9.58,default
0.702,4.8,paid off
0.338,17.18,default
0.583,5.55,paid off
0.615,6.38,paid off
0.63,13.88,paid off
0.235,14.09,default
0.509,10.41,default
0.683,9.25,paid off
0.686,3.34,paid off
0.673,4.58,paid off
0.433,5.25,paid off
0.285,7.66,default
0.386,14.56,default
0.433,11.85,default
0.571,3.65,paid off
0.763,6.06,paid off
0.632,7.93,paid off
0.659,4.91,paid off
0.432,5.64,default
0.705,4.54,paid off
0.516,6.44,default
0.269,10.58,default
0.321,20.0,default
0.715,2.86,paid off
0.531,3.06,paid off
0.355,6.24,paid off
0.54,9.48,default
0.569,3.77,paid off
0.563,3.56,paid off
0.543,3.96,paid off
0.274,8.34,default
0.689,2.71,paid off
0.74,10.0,paid off
0.452,9.07,default
0.695,5.64,paid off
0.633,4.25,paid off
0.496,11.23,default
0.712,2.74,paid off
0.461,7.8,default
0.745,4.93,paid off
0.658,8.05,default
0.691,6.22,paid off
0.399,8.26,default
0.66,9.42,paid off
0.411,11.58,default
0.669,1.72,paid off
0.713,8.9,paid off
0.387,10.78,default
0.32,11.32,default
0.532,7.05,paid off
0.563,13.31,default
0.661,2.91,paid off
0.763,4.42,paid off
0.538,2.73,paid off
0.571,1.97,paid off
0.433,15.79,default
0.657,4.59,paid off
0.431,19.81,default
0.63,4.66,paid off
0.727,3.61,paid off
0.7,11.25,paid off
0.697,4.73,paid off
0.571,2.12,paid off
0.452,17.63,default
0.372,10.92,default
0.427,9.35,default
0.657,3.8,paid off
0.651,4.47,paid off
0.619,19.3,paid off
0.316,7.17,default
0.469,14.39,default
0.629,3.77,paid off
0.631,9.58,paid off
0.341,14.69,default
0.586,4.24,paid off
0.387,8.87,default
0.55,5.42,paid off
0.294,16.25,default
0.619,6.07,paid off
0.584,6.54,paid off
0.521,8.35,paid off
0.549,2.92,paid off
0.296,9.24,default
0.302,3.26,paid off
0.688,2.77,paid off
0.355,6.92,default
0.452,9.62,default
0.457,9.73,default
0.498,8.43,default
0.535,9.8,default
0.623,8.56,paid off
0.4,10.4,default
0.579,4.34,paid off
0.408,8.88,default
0.618,5.89,paid off
0.349,10.51,paid off
0.684,9.49,paid off
0.703,7.97,paid off
0.463,5.55,paid off
0.381,4.02,paid off
0.292,9.16,default
0.348,13.76,default
0.555,6.7,paid off
0.563,7.72,default
0.46,9.92,default
0.501,6.27,paid off
0.316,9.77,default
0.443,10.15,paid off
0.433,6.71,paid off
0.547,11.91,paid off
0.512,6.39,default
0.718,2.95,paid off
0.312,11.14,default
0.556,3.83,paid off
0.394,3.42,paid off
0.554,6.72,paid off
0.449,10.64,default
0.435,8.18,default
0.416,2.79,paid off
0.667,12.21,default
0.672,4.86,paid off
0.656,2.35,paid off
0.637,4.2,paid off
0.388,6.1,default
0.296,8.49,default
0.607,9.4,paid off
0.428,6.41,paid off
0.378,8.21,default
0.244,20.0,default
0.455,10.24,default
0.259,18.11,default
0.382,14.98,default
0.684,3.55,paid off
0.594,4.43,paid off
0.441,6.65,default
0.481,13.85,default
0.596,4.58,paid off
0.356,19.68,default
0.447,8.67,default
0.193,11.45,default
0.503,4.45,paid off
0.551,5.6,paid off
0.262,11.87,default
0.305,7.32,default
0.685,5.34,paid off
0.308,11.26,default
0.364,16.33,default
0.337,15.45,default
0.523,6.0,paid off
0.598,3.35,paid off
0.748,10.22,paid off
0.654,4.49,paid off
0.634,2.17,paid off
0.508,10.78,default
0.473,2.39,paid off
0.615,4.62,paid off
0.383,5.31,paid off
0.604,4.76,paid off
0.569,9.12,default
0.235,10.71,default
0.638,9.96,paid off
0.19,11.56,default
0.527,5.42,paid off
0.585,2.92,paid off
0.4,16.01,default
0.661,9.45,paid off
0.646,5.24,paid off
0.438,15.88,default
0.277,8.83,default
0.701,3.85,paid off
0.352,6.62,default
0.578,2.39,paid off
0.666,7.45,paid off
0.669,4.16,paid off
0.759,6.44,paid off
0.647,5.38,paid off
0.266,10.01,default
0.489,6.09,default
0.531,2.5,paid off
0.68,4.36,paid off
0.722,4.07,paid off
0.646,4.52,paid off
0.526,3.14,paid off
0.408,15.61,default
0.493,6.45,default
0.667,3.87,paid off
0.576,6.16,paid off
0.288,11.88,default
0.477,8.51,paid off
0.689,4.55,paid off
0.301,8.82,default
0.587,5.46,paid off
0.383,9.17,default
0.445,9.42,default
0.314,4.54,default
0.417,10.11,default
0.593,2.87,paid off
0.288,11.33,default
0.719,1.86,paid off
0.452,7.79,default
0.546,6.73,paid off
0.579,14.85,default
0.606,3.6,paid off
0.324,11.96,default
0.383,10.34,default
0.558,10.12,default
0.424,2.59,paid off
0.228,15.39,default
0.38,9.41,default
0.754,4.99,paid off
0.45,14.13,default
0.509,8.17,paid off
0.348,14.6,default
0.275,8.58,default
0.631,5.67,paid off
0.609,3.48,paid off
0.585,9.86,paid off
0.584,2.71,paid off
0.359,8.67,default
0.457,16.96,default
0.281,7.63,default
0.434,7.74,default
0.55,8.83,paid off
0.674,3.38,paid off
0.446,16.68,default
0.601,4.39,paid off
0.598,6.07,paid off
0.386,4.1,paid off
0.292,8.04,default
0.588,6.24,paid off
0.415,1.54,paid off
0.253,11.87,default
0.63,5.65,paid off
0.631,9.25,paid off
0.442,7.97,default
0.495,4.76,paid off
0.779,5.51,paid off
0.593,6.04,paid off
0.628,4.51,paid off
0.267,8.57,default
0.532,9.09,default
0.481,6.33,paid off
0.485,9.03,paid off
0.669,2.45,paid off
0.597,6.27,paid off
0.526,6.66,default
0.718,2.15,paid off
0.341,7.01,default
0.433,11.48,default
0.525,6.21,paid off
0.495,12.0,default
0.349,9.9,default
0.697,2.57,paid off
0.574,7.22,paid off
0.321,16.54,default
0.405,8.49,default
0.688,5.37,paid off
0.365,14.13,default
0.538,8.74,default
0.275,10.07,default
0.278,9.28,default
0.618,3.54,paid off
0.676,4.5,paid off
0.423,8.22,default
0.679,4.74,paid off
0.6,20.0,default
0.718,2.96,paid off
0.397,9.35,default
0.624,1.77,paid off
0.278,4.77,default
0.404,12.02,default
0.303,11.66,default
0.771,6.1,paid off
0.398,7.29,default
0.515,5.49,paid off
0.214,11.03,default
0.704,5.91,paid off
0.628,6.51,paid off
0.521,5.65,paid off
0.624,7.44,paid off
0.436,17.86,default
0.512,11.19,paid off
0.629,2.11,paid off
0.388,6.82,default
0.657,2.55,paid off
0.462,19.25,default
0.596,2.63,paid off
0.534,17.52,default
0.258,8.35,default
0.657,5.4,paid off
0.573,6.37,paid off
0.608,4.95,paid off
0.437,13.55,default
0.719,8.36,paid off
0.736,10.96,paid off
0.31,8.44,default
0.646,2.01,paid off
0.592,5.58,paid off
0.648,6.8,paid off
0.634,4.6,paid off
0.63,4.59,paid off
0.404,6.63,default
0.188,8.15,default
0.52,13.08,default
0.494,8.6,default
0.499,3.23,paid off
0.586,6.41,paid off
0.391,13.03,default
0.482,2.46,paid off
0.415,2.78,paid off
0.703,6.87,default
0.588,4.3,paid off
0.681,6.05,paid off
0.5,4.55,paid off
0.434,11.01,paid off
0.491,15.87,default
0.58,5.81,paid off
0.69,5.79,paid off
0.481,7.27,default
0.206,13.46,default
0.496,8.42,default
0.455,9.34,default
0.693,6.65,paid off
0.467,11.45,default
0.584,8.56,paid off
0.487,4.58,paid off
0.374,6.22,default
0.663,2.19,paid off
0.679,4.62,paid off
0.69,6.42,paid off
0.562,9.93,default
0.741,8.36,paid off
0.248,9.34,default
0.598,5.41,paid off
0.533,6.68,paid off
0.552,3.95,paid off
0.314,13.03,default
0.313,13.85,default
0.487,4.87,paid off
0.44,10.85,default
0.564,2.73,paid off
0.537,8.07,paid off
0.285,9.51,default
0.38,14.31,default
0.531,2.91,paid off
0.657,3.53,paid off
0.278,10.7,default
0.529,3.08,paid off
0.342,5.89,paid off
0.493,7.67,paid off
0.619,2.88,paid off
0.695,6.67,paid off
0.405,8.41,default
0.739,7.0,paid off
0.552,20.0,default
0.578,6.12,paid off
0.501,9.21,paid off
0.236,10.46,default
0.295,9.31,default
0.659,4.84,paid off
0.288,11.76,default
0.568,4.26,paid off
0.565,3.0,paid off
0.565,6.96,paid off
0.626,6.66,paid off
0.355,15.34,default
0.647,7.72,paid off
0.394,16.84,default
0.605,5.52,paid off
0.352,12.06,default
0.44,9.6,default
0.446,13.02,default
0.646,6.1,paid off
0.321,7.8,default
0.71,5.05,paid off
0.689,12.04,paid off
0.378,16.46,default
0.404,10.76,default
0.661,2.91,paid off
0.397,11.06,default
0.563,2.61,paid off
0.596,5.38,paid off
0.56,5.11,paid off
0.442,12.92,default
0.664,3.62,paid off
0.603,2.29,paid off
0.661,7.1,paid off
0.692,2.4,paid off
0.433,11.31,default
0.524,2.79,paid off
0.489,8.6,default
0.596,4.06,paid off
0.676,5.64,paid off
0.647,20.0,default
0.29,16.06,default
0.685,8.54,paid off
0.523,9.04,default
0.41,14.49,default
0.481,5.72,default
0.705,4.71,paid off
0.585,3.53,paid off
0.518,6.83,paid off
0.503,8.3,default
0.56,11.3,default
0.513,7.64,default
0.576,1.93,paid off
0.435,15.55,default
