area,rooms,distance_km,age,price
43.0,1,10.8,3.2,353976
241.0,3,13.5,1.8,501130
253.5,2,9.3,6.7,523487
232.6,4,14.9,0.7,526578
245.9,3,1.9,3.8,541006
252.8,1,11.8,34.6,456671
80.3,4,4.0,26.7,473603
93.6,1,3.3,37.5,408014
201.1,1,7.5,45.7,455478
275.1,2,2.7,29.3,524631
115.4,4,2.8,36.3,485328
188.8,4,6.9,37.9,517394
214.4,2,19.6,18.9,449376
152.0,3,4.3,12.1,492156
222.7,1,1.3,10.3,476583
272.9,5,15.5,12.6,550400
198.5,1,16.3,13.7,411611
175.7,1,7.6,10.4,459854
148.5,3,9.8,43.9,454375
185.9,1,13.3,37.8,434683
125.9,2,1.9,2.3,454225
135.7,2,19.0,13.4,387227
173.6,4,17.8,1.1,483183
48.0,5,6.0,24.9,413661
91.8,1,1.3,23.8,389115
176.6,1,18.7,41.6,418427
146.5,3,10.5,15.4,493734
119.9,2,11.2,40.8,406798
227.2,5,14.0,48.4,516762
217.3,4,12.7,4.4,515573
75.0,2,18.9,39.6,348937
267.2,4,18.9,29.5,515434
163.8,3,17.5,24.0,468595
230.2,3,13.1,21.0,482296
184.8,1,16.2,39.2,419921
299.4,5,13.9,32.0,567822
233.1,4,11.9,40.3,520662
